date,year,month,month_name,quarter,week,day_of_week,is_weekend
2017-05-28 21:15:19,2017,5,May,2,21,Sunday,True
2017-05-29 21:15:19,2017,5,May,2,22,Monday,False
2017-05-30 21:15:19,2017,5,May,2,22,Tuesday,False
2017-05-31 21:15:19,2017,5,May,2,22,Wednesday,False
2017-06-01 21:15:19,2017,6,June,2,22,Thursday,False
2017-06-02 21:15:19,2017,6,June,2,22,Friday,False
2017-06-03 21:15:19,2017,6,June,2,22,Saturday,True
2017-06-04 21:15:19,2017,6,June,2,22,Sunday,True
2017-06-05 21:15:19,2017,6,June,2,23,Monday,False
2017-06-06 21:15:19,2017,6,June,2,23,Tuesday,False
2017-06-07 21:15:19,2017,6,June,2,23,Wednesday,False
2017-06-08 21:15:19,2017,6,June,2,23,Thursday,False
2017-06-09 21:15:19,2017,6,June,2,23,Friday,False
2017-06-10 21:15:19,2017,6,June,2,23,Saturday,True
2017-06-11 21:15:19,2017,6,June,2,23,Sunday,True
2017-06-12 21:15:19,2017,6,June,2,24,Monday,False
2017-06-13 21:15:19,2017,6,June,2,24,Tuesday,False
2017-06-14 21:15:19,2017,6,June,2,24,Wednesday,False
2017-06-15 21:15:19,2017,6,June,2,24,Thursday,False
2017-06-16 21:15:19,2017,6,June,2,24,Friday,False
2017-06-17 21:15:19,2017,6,June,2,24,Saturday,True
2017-06-18 21:15:19,2017,6,June,2,24,Sunday,True
2017-06-19 21:15:19,2017,6,June,2,25,Monday,False
2017-06-20 21:15:19,2017,6,June,2,25,Tuesday,False
2017-06-21 21:15:19,2017,6,June,2,25,Wednesday,False
2017-06-22 21:15:19,2017,6,June,2,25,Thursday,False
2017-06-23 21:15:19,2017,6,June,2,25,Friday,False
2017-06-24 21:15:19,2017,6,June,2,25,Saturday,True
2017-06-25 21:15:19,2017,6,June,2,25,Sunday,True
2017-06-26 21:15:19,2017,6,June,2,26,Monday,False
2017-06-27 21:15:19,2017,6,June,2,26,Tuesday,False
2017-06-28 21:15:19,2017,6,June,2,26,Wednesday,False
2017-06-29 21:15:19,2017,6,June,2,26,Thursday,False
2017-06-30 21:15:19,2017,6,June,2,26,Friday,False
2017-07-01 21:15:19,2017,7,July,3,26,Saturday,True
2017-07-02 21:15:19,2017,7,July,3,26,Sunday,True
2017-07-03 21:15:19,2017,7,July,3,27,Monday,False
2017-07-04 21:15:19,2017,7,July,3,27,Tuesday,False
2017-07-05 21:15:19,2017,7,July,3,27,Wednesday,False
2017-07-06 21:15:19,2017,7,July,3,27,Thursday,False
2017-07-07 21:15:19,2017,7,July,3,27,Friday,False
2017-07-08 21:15:19,2017,7,July,3,27,Saturday,True
2017-07-09 21:15:19,2017,7,July,3,27,Sunday,True
